Description,Type,IOC
Payload,sha256,1aa52252a9ae1c24c9a587d84bbe8ad42ea834ecb2f5e363660d0180a0fd358b
VBS Downloader,url,http://www.alldomaininfo.com/H0BX1/fuck_niggers_76.hta
VBS Downloader,sha256, 14742ad0ebb79503f0971a04d61cdb176ee82d609786509d2c34935bb83e72db
Payload,url,http://cucsur.udgvirtual.udg.mx/oa/2020/SisTur/O0Z12B/vNyJMFEoHgVAUlkkklgbtq.bin
Payload,sha256,0e5c5fd9dbd9877538234f46af9f9ad2bed5561f5fda9c2de019272741d4c208
Payload,url,https://daftar.site/9UP/hEvpYtkkklgbtq.bin
Payload,sha256,f0f8c65ff33028fffaa1b7e9e18dacd896e0b0e8a9fa6e234c719b030b9741ac
Payload,url,http://csminas.ddns.net/F3XK/sdCYxUyrEVUDtwkkklgbtq.bin
VBS Downloader,url,http://www.alldomaininfo.com/DIY1F6/fuck_niggers_93.hta
VBS Downloader,url,http://www.alldomaininfo.com/438G/fuck_niggers_91.hta
VBS Downloader,sha256, e76c7411ea6566146aac1c8841f133297727c0f614aed38fe1ddef35e7a4ade9
Payload,url,https://preusz.com/I5U8T/FBAuWkkklgbtq.bin
Payload,url,http://skyviewonlineltd.com/XWAJI/lAEJRQoZtqYkkklgbtq.bin
Payload,url,https://preusz.com/ZECCXL/XsjhBjOkmtkkklgbtq.bin
VBS Downloader,url,http://www.alldomaininfo.com/ZBK/fuck_niggers_57.hta
VBS Downloader,url,http://www.alldomaininfo.com/0QMMJX/fuck_niggers_12.hta
VBS Downloader,url,http://www.alldomaininfo.com/1D7/fuck_niggers_9.hta
VBS Downloader,sha256, 9401ed473d2da5df83e88c97da0b485fcc125cb6bfcda473b50e3293689f464e
Payload,url,http://csminas.ddns.net/JE4Z/sPJVVlpiXpgktkkklgbtq.bin
Payload,sha256,999285b1dae2c26e61557b12e3f60dc6135dfb185c0136cb1e2f441149bfea40
VBS Downloader,url,http://www.alldomaininfo.com/D9W/fuck_niggers_15.hta
VBS Downloader,sha256, 3726003ea6d8aa40cbfd515f32bf66c5fd1e55b4ca47df3a4101551db28b7893
Payload,url,http://skyviewonlineltd.com/QXCFV/iMzLYIacjTSkkklgbtq.bin
Payload,url,http://skyviewonlineltd.com/4R7/ZKMEkleQqDEiaJkkklgbtq.bin
Payload,sha256,9be19f07e2a06af1c622c9c6b7f139b4328f6baf971a7964844447bcff7e1814
Payload,url,https://bpnjabar.tams-app.com/VIY9/mVvNYQSwxeRnFbkkklgbtq.bin
Payload,sha256,4a04f52da6831a961fc09ff38561ecabdc50fb426aeb343f89454715d6b440ab
VBS Downloader,url,http://www.alldomaininfo.com/UTO/fuck_niggers_99.hta
VBS Downloader,sha256, da9fc1f9a5e8982314a0b122a1195592cf6ae5b0c3e17790d287a5287573e187
Payload,url,http://dev2-admin.ycbnt.net/F0Z/HLYbnfSQpxkkklgbtq.bin
Payload,url,https://preusz.com/8S41RZ/RkKKcEAAkkklgbtq.bin
Payload,url,http://cucsur.udgvirtual.udg.mx/oa/2020/SisTur/2BN/ngKnznerdtRLqCLkkklgbtq.bin
Payload,sha256,27b24d442413bdb408f7d2e09f440a5fba2d5b2bf22ed2a99562c09dc3234fb3
VBS Downloader,url,http://www.alldomaininfo.com/373/fuck_niggers_98.hta
VBS Downloader,sha256, 792a7b1fad439c7ff361abd876102f5a7a49e71cdec15a9af9617d86c83a8432
Payload,url,https://preusz.com/0SM8NM/rZYWzGckkklgbtq.bin
Payload,sha256,529c9b5c88f66076ffdc00eaacc1cf1f775cae07888c80e249d33cf85c81b1e4
Payload,url,https://bpnjabar.tams-app.com/OF553R/bHONQLiJEMMVkkklgbtq.bin
Payload,sha256,929ca7f836a683e65c010e190a068e6785e8dd2dade630b6006f915d3d5e9007
Payload,url,http://cucsur.udgvirtual.udg.mx/oa/2020/SisTur/AK29K5/HFRfgqrqpUwEZakkklgbtq.bin
Payload,sha256,3bb445d4ffac94906e3a834b659d7adc1f18dc7b9c9196c38b353937f1381278
VBS Downloader,url,http://www.alldomaininfo.com/WEYMZ7/fuck_niggers_72.hta
VBS Downloader,sha256, 607de188aef24a76147867bf5785cda2c72f602c1ddaf9b2b187b2cc658eaed1
Payload,url,http://cucsur.udgvirtual.udg.mx/oa/2020/SisTur/8QVA/mYEUXPpDSNYccsGkkklgbtq.bin
Payload,sha256,ecf2b2f6e49da5476eddead4ea6b32ef39d3b1989ed1c5fb46e90f114f9ea302
Payload,url,https://medino.co.in/khgqz/BK4FB/LzFICzdSIzchskkklgbtq.bin
VBS Downloader,url,http://www.alldomaininfo.com/3MT4N8/fuck_niggers_0.hta
VBS Downloader,sha256, 44537d0a16917aa35213693f607ae5d1b287d6e9737f7bb75f7c9e3920695b15
Payload,url,http://skyviewonlineltd.com/0HC/YxmLURonkkklgbtq.bin
Payload,sha256,8cd9c1725c59139cafb22e210d4cbd0e6d78c2d5ed5cddda30b173dc85950d9e
VBS Downloader,url,http://www.alldomaininfo.com/W22OE8/fuck_niggers_51.hta
